com.samsung.health.movement,6311013,1
create_sh_ver,start_time,custom,binning_data,modify_sh_ver,update_time,create_time,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
62981551,2025-08-01 12:20:00.000,,3b825b67-2f3a-4430-9af7-f71b63005032.binning_data.json,62981551,2025-08-01 13:01:38.132,2025-08-01 12:21:21.338,UTC+0200,YDRm/TcCOZ,,com.sec.android.app.shealth,2025-08-01 12:59:59.999,3b825b67-2f3a-4430-9af7-f71b63005032,
62981551,2025-08-01 13:00:00.000,,2782493a-10fe-445b-9a55-c34bd3050bc3.binning_data.json,62981551,2025-08-01 13:42:58.530,2025-08-01 13:01:38.140,UTC+0200,YDRm/TcCOZ,,com.sec.android.app.shealth,2025-08-01 13:59:59.999,2782493a-10fe-445b-9a55-c34bd3050bc3,
62981551,2025-08-01 14:00:00.000,,7ad29de1-18b6-4ec6-8ad9-1686d224b573.binning_data.json,62981551,2025-08-01 15:00:37.426,2025-08-01 14:20:25.165,UTC+0200,YDRm/TcCOZ,,com.sec.android.app.shealth,2025-08-01 14:59:59.999,7ad29de1-18b6-4ec6-8ad9-1686d224b573,
62981551,2025-08-01 15:00:00.000,,43bdb83a-7ccb-418d-8700-8efe486a30d5.binning_data.json,62981551,2025-08-01 16:00:54.117,2025-08-01 15:20:43.138,UTC+0200,YDRm/TcCOZ,,com.sec.android.app.shealth,2025-08-01 15:59:59.999,43bdb83a-7ccb-418d-8700-8efe486a30d5,
62981551,2025-08-01 20:00:00.000,,c05ce786-70e3-4ea6-a9ce-32c68bb3edbf.binning_data.json,62981551,2025-08-01 21:02:29.786,2025-08-01 20:02:09.230,UTC+0200,YDRm/TcCOZ,,com.sec.android.app.shealth,2025-08-01 20:59:59.999,c05ce786-70e3-4ea6-a9ce-32c68bb3edbf,
62981551,2025-08-01 16:01:00.000,,25221b2b-8cb4-471a-970a-cfec39fc84f1.binning_data.json,62981551,2025-08-01 17:01:14.161,2025-08-01 16:21:01.045,UTC+0200,YDRm/TcCOZ,,com.sec.android.app.shealth,2025-08-01 16:59:59.999,25221b2b-8cb4-471a-970a-cfec39fc84f1,
62981551,2025-08-01 21:00:00.000,,49a8a7a0-a7b2-4e05-b16a-362cce250da9.binning_data.json,62981551,2025-08-01 22:02:49.138,2025-08-01 21:02:29.823,UTC+0200,YDRm/TcCOZ,,com.sec.android.app.shealth,2025-08-01 21:59:59.999,49a8a7a0-a7b2-4e05-b16a-362cce250da9,
62981551,2025-08-01 18:00:00.000,,6e92226e-d230-4646-a9c7-520955d0c102.binning_data.json,62981551,2025-08-01 19:01:50.480,2025-08-01 18:01:30.876,UTC+0200,YDRm/TcCOZ,,com.sec.android.app.shealth,2025-08-01 18:59:59.999,6e92226e-d230-4646-a9c7-520955d0c102,
62981551,2025-08-01 19:00:00.000,,dd83fa7b-a453-4bdb-a6c0-06da07e50f90.binning_data.json,62981551,2025-08-01 20:02:09.203,2025-08-01 19:01:50.491,UTC+0200,YDRm/TcCOZ,,com.sec.android.app.shealth,2025-08-01 19:59:59.999,dd83fa7b-a453-4bdb-a6c0-06da07e50f90,
62910051,2025-08-01 09:18:00.000,,2f707990-af76-437e-97c0-97672494d61e.binning_data.json,62910051,2025-08-01 09:51:29.026,2025-08-01 09:19:53.305,UTC+0200,kmteSRvjEN,,com.sec.android.app.shealth,2025-08-01 09:59:59.999,2f707990-af76-437e-97c0-97672494d61e,
62981551,2025-08-02 05:00:00.000,,11597665-4073-4939-8d89-a7ca358edd2f.binning_data.json,62981551,2025-08-02 06:05:18.046,2025-08-02 05:04:57.125,UTC+0200,YDRm/TcCOZ,,com.sec.android.app.shealth,2025-08-02 05:59:59.999,11597665-4073-4939-8d89-a7ca358edd2f,
62910051,2025-08-01 10:00:00.000,,7ed9eeec-3ddf-4494-a93a-9783454cae8f.binning_data.json,62910051,2025-08-01 11:05:10.240,2025-08-01 09:51:29.038,UTC+0200,kmteSRvjEN,,com.sec.android.app.shealth,2025-08-01 10:59:59.999,7ed9eeec-3ddf-4494-a93a-9783454cae8f,
