com.samsung.shealth.activity.goal,6311013,1
update_time,create_time,value,time_offset,deviceuuid,pkg_name,set_time,datauuid
2020-05-02 10:14:12.410,2020-05-02 10:14:12.410,60,UTC+0200,m3h9nVfJDO,com.sec.android.app.shealth,1588414452400,015962e4-cb06-4f17-8f46-102c154fffca,
2020-05-02 10:14:17.497,2020-05-02 10:14:17.497,60,UTC+0200,m3h9nVfJDO,com.sec.android.app.shealth,1588414457472,f8c58e9b-cf99-41e5-9fdc-e91119b2ee18,
2020-05-11 22:04:44.022,2020-05-11 22:04:44.022,60,UTC+0200,m3h9nVfJDO,com.sec.android.app.shealth,1589234684016,1aa5286d-0f26-420e-9e2b-5704145e61b5,
2020-05-11 22:04:46.875,2020-05-11 22:04:46.875,60,UTC+0200,m3h9nVfJDO,com.sec.android.app.shealth,1589234686841,48b5a951-e788-41e6-8c29-9525e139b834,
2020-07-22 11:33:23.158,2020-07-22 11:33:23.158,60,UTC+0200,m3h9nVfJDO,com.sec.android.app.shealth,1595417603146,df6cbde4-f389-4d4a-96b1-5ce56c83fa52,
2020-07-22 11:33:22.916,2020-07-22 11:33:22.916,60,UTC+0200,m3h9nVfJDO,com.sec.android.app.shealth,1595417601366,ede1dc4c-cb41-4749-bfeb-3cc36840db4a,
2020-07-22 15:01:20.433,2020-07-22 15:01:20.433,60,UTC+0200,m3h9nVfJDO,com.sec.android.app.shealth,1595430080423,84cbcee1-ed35-49b2-83c6-07e1af48e8e9,
2020-07-22 15:01:20.513,2020-07-22 15:01:20.513,60,UTC+0200,m3h9nVfJDO,com.sec.android.app.shealth,1595430080506,52c9c1d9-d509-478b-893c-ddf5f9736633,
2020-10-25 05:00:03.232,2020-10-25 05:00:03.232,60,UTC+0100,m3h9nVfJDO,com.sec.android.app.shealth,1603602003224,32f3df7d-4647-46f8-a361-5b81c2bb2940,
2020-12-24 21:12:31.711,2020-12-24 21:12:31.711,60,UTC+0100,t2lQEfg4vc,com.sec.android.app.shealth,1608844351704,3b7f8304-3791-443a-88ab-d91d12e980e7,
2020-12-24 21:12:31.154,2020-12-24 21:12:31.154,60,UTC+0100,t2lQEfg4vc,com.sec.android.app.shealth,1608844351145,098edcc6-5bcf-4a91-a66c-c4dd391a552d,
2021-03-28 09:36:41.918,2021-03-28 09:36:41.918,60,UTC+0200,t2lQEfg4vc,com.sec.android.app.shealth,1616924201908,44c55025-6b78-4e77-bd15-db2c240ac1d2,
2021-05-28 18:42:03.437,2021-05-28 18:42:03.437,60,UTC+0200,t2lQEfg4vc,com.sec.android.app.shealth,1622227323433,3a2f6fcf-6c4f-4050-b59d-c90c3a8affa4,
2021-05-28 18:42:02.739,2021-05-28 18:42:02.739,60,UTC+0200,t2lQEfg4vc,com.sec.android.app.shealth,1622227322735,04de2813-4c4c-43e2-92b8-3791d506c79e,
