com.samsung.shealth.best_records,6311013,3
source_id,device_type,update_time,create_time,source_pkg_name,date,type,value,is_shown,extra_data,extra_type,deviceuuid,pkg_name,controller_id,datauuid
1329b5ec-9b64-6c50-e6ea-8c76aded4614,-1,2021-11-01 21:55:28.009,2021-08-19 14:35:08.214,,1629380436930,3,26680.635,,,-1,t2lQEfg4vc,com.sec.android.app.shealth,tracker.sport_cycling,bc5ebbef-6e85-4df0-a647-8b02029befc1,
1329b5ec-9b64-6c50-e6ea-8c76aded4614,-1,2021-11-01 21:55:28.009,2021-08-19 14:35:08.179,,1629380436930,1,7363659.0,,,-1,t2lQEfg4vc,com.sec.android.app.shealth,tracker.sport_cycling,a345ab85-f231-4567-a65a-23075b3bb6c4,
0b3775d1-f45e-754c-7087-1a5463fe20d1,-1,2021-11-01 21:55:27.991,2020-08-10 21:28:57.089,,1596980734170,3,16924.459,,,11007,m3h9nVfJDO,com.sec.android.app.shealth,tracker.sport_others,a0b5c597-d117-48f8-9228-2ffa0b7de311,
0b3775d1-f45e-754c-7087-1a5463fe20d1,-1,2021-11-01 21:55:27.991,2020-08-10 21:28:57.118,,1596980734170,4,10.292,,,11007,m3h9nVfJDO,com.sec.android.app.shealth,tracker.sport_others,5b3953ec-e258-441a-8aa1-d6f42356b651,
0b3775d1-f45e-754c-7087-1a5463fe20d1,-1,2021-11-01 21:55:27.991,2020-08-10 21:28:57.149,,1596980734170,1,4815919.0,,,11007,m3h9nVfJDO,com.sec.android.app.shealth,tracker.sport_others,1ad19adb-8e81-4d3d-ac22-fcbc52fa1311,
57e05972-b420-4df5-ba3f-acb3bb18c895,-1,2021-11-01 21:55:28.021,2020-07-26 10:35:09.571,,1595766476060,4,5.756,,,-1,m3h9nVfJDO,com.sec.android.app.shealth,tracker.sport_cycling,8799969f-942d-4160-bc09-9c56409210ff,
1ddcc2e6-41ed-ccec-2d55-9fed2ec158ba,-1,2021-11-01 21:55:28.012,2020-08-30 11:23:13.617,,1598789077290,2,638.32,,,-1,m3h9nVfJDO,com.sec.android.app.shealth,tracker.sport_cycling,0ced78c1-8078-435b-a27c-7411ec86e83a,
88f90ef6-151b-52d8-425e-22bc2ee61a51,-1,2021-11-01 21:55:28.035,2020-05-02 16:39:07.515,,1588443419110,2,96.911,,,-1,m3h9nVfJDO,com.sec.android.app.shealth,tracker.sport_walking,d136882e-8be5-4bab-807b-1a260e3c05ff,
0b3775d1-f45e-754c-7087-1a5463fe20d1,-1,2021-11-01 21:55:27.991,2020-08-10 21:28:57.168,,1596980734170,2,616.613,,,11007,m3h9nVfJDO,com.sec.android.app.shealth,tracker.sport_others,22a8d0af-fb68-4f97-9b9b-ba2177f955b1,
1329b5ec-9b64-6c50-e6ea-8c76aded4614,-1,2021-11-01 21:55:28.009,2021-08-19 14:35:08.199,,1629380436930,2,1150.317,,,-1,t2lQEfg4vc,com.sec.android.app.shealth,tracker.sport_cycling,8371d1df-b31e-4024-b564-23ac9ad27727,
a040467c-03fe-c26c-bc22-1c1b2ff0e503,-1,2021-11-01 21:55:28.039,2021-03-02 00:52:59.486,,1596218704690,4,8.953,,,-1,t2lQEfg4vc,com.sec.android.app.shealth,tracker.sport_cycling,193a2a01-14a1-402d-bda7-1fc47effde44,
88f90ef6-151b-52d8-425e-22bc2ee61a51,-1,2021-11-01 21:55:28.035,2020-05-02 16:39:07.436,,1588443419110,1,685050.0,,,-1,m3h9nVfJDO,com.sec.android.app.shealth,tracker.sport_walking,3fb0d059-8426-4b4b-b6e8-1be63f96aecb,
0e8078f9-4e7f-e75b-59e5-04e91129b301,-1,2021-11-01 21:55:28.004,2020-08-23 16:27:55.747,,1598201179860,1,5221899.0,,,-1,m3h9nVfJDO,com.sec.android.app.shealth,tracker.sport_cycling,183c2917-25b4-4e71-adc1-a5b9e48773b5,
1ddcc2e6-41ed-ccec-2d55-9fed2ec158ba,-1,2021-11-01 21:55:28.012,2020-08-30 11:23:13.441,,1598789077290,4,11.57,,,-1,m3h9nVfJDO,com.sec.android.app.shealth,tracker.sport_cycling,11c650e3-73af-46c0-b840-6c81cd1111e1,
88f90ef6-151b-52d8-425e-22bc2ee61a51,-1,2021-11-01 21:55:28.035,2020-05-02 16:39:07.578,,1588443419110,3,677.594,,,-1,m3h9nVfJDO,com.sec.android.app.shealth,tracker.sport_walking,3cc8ee90-b7b2-413f-8668-fad7763b5c08,
88f90ef6-151b-52d8-425e-22bc2ee61a51,-1,2021-11-01 21:55:28.035,2020-05-02 16:39:07.400,,1588443419110,4,1.741,,,-1,m3h9nVfJDO,com.sec.android.app.shealth,tracker.sport_walking,9bf75941-460b-4a66-9c90-37fe502e61b8,
ae90dcbf-bbd9-ae1e-293e-e56061411088,-1,2021-11-01 21:55:28.042,2021-03-02 00:52:59.683,,1596314189800,1,761769.0,,,-1,t2lQEfg4vc,com.sec.android.app.shealth,tracker.sport_walking,63f5ccec-529f-4fdb-800c-d94df82a0ec7,
