com.samsung.shealth.daily_activity.goal,6311013,1
update_time,create_time,type,value,time_offset,deviceuuid,pkg_name,set_time,datauuid
2021-09-14 07:43:07.696,2021-09-14 07:43:07.696,2,120,UTC+0200,BPYUPn3BBR,com.sec.android.app.shealth,1631605387696,dbe124ad-8c41-ea63-fd86-3f7124685a31,
2021-09-14 07:42:55.849,2021-09-14 07:42:55.849,1,400,UTC+0200,BPYUPn3BBR,com.sec.android.app.shealth,1631605375849,63cce405-bdfe-d2f3-8be9-edd1125ca147,
2021-09-14 07:43:18.344,2021-09-14 07:43:18.344,3,8,UTC+0200,BPYUPn3BBR,com.sec.android.app.shealth,1631605398344,9de60be8-466f-6b2e-bf86-8371664c7019,
2020-07-23 19:21:44.802,2020-07-23 19:21:44.802,2,60,UTC+0200,BPYUPn3BBR,com.sec.android.app.shealth,1595532104802,e7bca80f-5328-77a5-fb66-95ffbcc97faf,
2021-09-14 07:43:13.104,2021-09-14 07:43:13.104,3,10,UTC+0200,BPYUPn3BBR,com.sec.android.app.shealth,1631605393104,8fd7e522-2b71-9e24-00f8-f58eeb0b817b,
2021-12-23 13:49:28.786,2021-12-23 13:49:28.786,1,400,UTC+0100,BPYUPn3BBR,com.sec.android.app.shealth,1640267368786,0cf96552-b890-fc3b-b526-22dae188b53a,
2021-12-23 13:52:25.361,2021-12-23 13:52:25.361,3,4,UTC+0100,BPYUPn3BBR,com.sec.android.app.shealth,1640267545361,59792457-83e3-8ec1-b8a9-5de88564d0f2,
2021-12-23 13:49:08.748,2021-12-23 13:49:08.748,1,420,UTC+0100,BPYUPn3BBR,com.sec.android.app.shealth,1640267348748,9749c246-e1e3-7a8d-44bc-69717b1ea87c,
2021-12-23 13:48:44.014,2021-12-23 13:48:44.014,1,410,UTC+0100,BPYUPn3BBR,com.sec.android.app.shealth,1640267324014,f50a6976-1112-f9ea-9b6b-8ed232892dda,
2021-12-23 13:46:21.508,2021-12-23 13:46:21.508,1,390,UTC+0100,BPYUPn3BBR,com.sec.android.app.shealth,1640267181508,f726cca3-dca4-6ee8-595d-4578a7ebcccd,
