com.samsung.shealth.food_favorite,6311013,1
amount,food_type,update_time,create_time,name,unit,favoriteid,calorie,deviceuuid,pkg_name,datauuid,food_info_id
1.0,3,2024-12-09 06:23:47.848,2024-12-09 06:23:47.848,Tiger Naked line,120001,0d7d0e25-e240-41c6-9d25-d761509694fc,45.0,CdeuO5Zn7i,com.sec.android.app.shealth,4701f9c6-677d-4b1d-8046-29b3268757e4,23ce8cf4-d7fb-4002-91d1-fde81907c744,
0.0,2,2024-12-09 06:24:28.710,2024-12-09 06:24:28.710,2339ee38-9d43-4798-83a0-d4b139001cc8,,2339ee38-9d43-4798-83a0-d4b139001cc8,0.0,CdeuO5Zn7i,com.sec.android.app.shealth,8cbfa4e6-532b-4bc0-88d6-8c549b6a08fc,23ce8cf4-d7fb-4002-91d1-fde81907c744,
1.0,3,2024-12-09 08:59:52.637,2024-12-09 08:59:45.891,Halls,120001,45207459-bf22-48d8-86d3-39e991a1d741,13.0,CdeuO5Zn7i,com.sec.android.app.shealth,4fe4778d-964d-4694-9e6c-c41ab84b89be,7db5dce1-62b0-41b7-8a66-157dc6374b27,
0.0,2,2024-12-09 10:08:29.920,2024-12-09 10:08:29.920,58f41811-d183-431d-8524-bfc3322ec85f,,58f41811-d183-431d-8524-bfc3322ec85f,0.0,CdeuO5Zn7i,com.sec.android.app.shealth,42b701a7-57c9-41b3-b0fb-49d9fce6d0d3,e9289907-f81e-4dc0-9298-6bf661f80e0a,
1.0,3,2024-12-09 10:17:48.169,2024-12-09 10:17:38.308,Alibaba rollo kurczak amerykański łagodny 100g,120001,7a9938f2-e9a4-4db2-8177-82c114d89d87,533.0,CdeuO5Zn7i,com.sec.android.app.shealth,5b154182-6540-4ae7-acd4-37d0d84fc83e,fdaf0cae-8d27-428e-95d1-6b54c3f5d08f,
1.0,3,2024-12-09 13:32:20.650,2024-12-09 13:32:20.650,Bread sticks 60g,120001,6dfa1abd-e571-4c34-b30b-ba19576c986e,254.0,CdeuO5Zn7i,com.sec.android.app.shealth,c43f3daf-fd11-4798-9b7b-2c63cfa6c033,887c8556-3700-4e21-b8fd-6a354410ccf0,
0.0,2,2024-12-09 13:28:53.572,2024-12-09 13:28:53.572,f1905cab-5459-4f7d-9586-af5860341c06,,f1905cab-5459-4f7d-9586-af5860341c06,0.0,CdeuO5Zn7i,com.sec.android.app.shealth,8669f0f5-a419-48c5-a601-aa5fce785c9a,7db5dce1-62b0-41b7-8a66-157dc6374b27,
1.0,3,2024-12-09 10:19:37.739,2024-12-09 10:19:37.739,Alibaba rollo kurczak 100g,120001,f6a83aed-cb5c-489f-8eb9-9ddd2e900b57,140.0,CdeuO5Zn7i,com.sec.android.app.shealth,6dfb21f1-67c5-47aa-a259-466ebb86e499,f5571b55-9d3c-48e5-a0aa-94cb0d604e2c,
0.0,2,2024-12-09 13:38:15.097,2024-12-09 13:38:15.097,9e6c02d7-65af-4971-a235-405df40eb869,,9e6c02d7-65af-4971-a235-405df40eb869,0.0,CdeuO5Zn7i,com.sec.android.app.shealth,ac3e5c36-b88a-4877-92c1-b91fc3ccd22a,887c8556-3700-4e21-b8fd-6a354410ccf0,
1.0,3,2024-12-09 10:20:52.725,2024-12-09 09:49:24.254,Alibaba rollo kurczak łagodny 100g,120001,e7747da7-100d-4ad7-a306-13b98195ad1b,443.0,CdeuO5Zn7i,com.sec.android.app.shealth,31b9f672-05af-4956-a57b-beb07c6935ca,13305e85-a3c4-48bf-a259-717cb3c20e24,
