com.samsung.shealth.report,6311013,3
timezone,start_date,update_time,create_time,type,is_empty,version,deviceuuid,content,pkg_name,datauuid,compressed_content
Europe/Warsaw,1587333600000,2020-05-02 13:04:38.570,2020-05-02 13:04:34.734,0,0,2,m3h9nVfJDO,X,com.sec.android.app.shealth,1423a967-8513-46c1-b9b2-a67bf0ddc3f2,1423a967-8513-46c1-b9b2-a67bf0ddc3f2.compressed_content.json,
Europe/Warsaw,1594591200000,2020-07-25 13:05:05.906,2020-07-23 13:04:10.723,0,0,2,m3h9nVfJDO,X,com.sec.android.app.shealth,0a897995-933c-4c42-9a3a-f74072291427,0a897995-933c-4c42-9a3a-f74072291427.compressed_content.json,
Europe/Warsaw,1595196000000,2020-07-29 13:04:51.845,2020-07-27 13:04:34.152,0,0,2,m3h9nVfJDO,X,com.sec.android.app.shealth,665f77f9-5ab2-4c42-ad13-c90cf61534b3,665f77f9-5ab2-4c42-ad13-c90cf61534b3.compressed_content.json,
Europe/Warsaw,1595800800000,2020-08-05 13:05:11.738,2020-08-03 13:04:06.030,0,0,2,m3h9nVfJDO,X,com.sec.android.app.shealth,7ec964e9-820a-485c-ad66-7348647bc310,7ec964e9-820a-485c-ad66-7348647bc310.compressed_content.json,
Europe/Warsaw,1596405600000,2020-08-10 13:04:46.933,2020-08-10 13:04:39.596,0,0,2,m3h9nVfJDO,X,com.sec.android.app.shealth,eb9f7ab2-b869-4a12-9cc8-217ddf044676,eb9f7ab2-b869-4a12-9cc8-217ddf044676.compressed_content.json,
Europe/Warsaw,1597010400000,2020-08-18 13:04:44.997,2020-08-17 13:04:04.838,0,0,2,m3h9nVfJDO,X,com.sec.android.app.shealth,07b169e6-8f05-4594-9ba3-c06dba908559,07b169e6-8f05-4594-9ba3-c06dba908559.compressed_content.json,
Europe/Warsaw,1599429600000,2020-09-14 13:06:13.225,2020-09-14 13:06:09.977,0,0,2,m3h9nVfJDO,X,com.sec.android.app.shealth,fcb8682e-989b-42db-b6f3-5835050d032d,fcb8682e-989b-42db-b6f3-5835050d032d.compressed_content.json,
Europe/Warsaw,1600034400000,2020-09-22 13:04:16.127,2020-09-21 13:05:19.042,0,0,2,m3h9nVfJDO,X,com.sec.android.app.shealth,86ae1107-449d-4b56-89fe-edcb36265894,86ae1107-449d-4b56-89fe-edcb36265894.compressed_content.json,
Europe/Warsaw,1598220000000,2020-09-01 13:06:12.137,2020-08-31 13:04:47.786,0,0,2,m3h9nVfJDO,X,com.sec.android.app.shealth,21ea0724-d73d-4b77-9762-3ba3f0a07d16,21ea0724-d73d-4b77-9762-3ba3f0a07d16.compressed_content.json,
Europe/Warsaw,1598824800000,2020-09-08 13:04:27.643,2020-09-07 13:04:23.165,0,0,2,m3h9nVfJDO,X,com.sec.android.app.shealth,b106dac3-e3cd-4a29-9fc5-5dd77eb9391a,b106dac3-e3cd-4a29-9fc5-5dd77eb9391a.compressed_content.json,
