com.samsung.shealth.rewards,6311013,5
number_of_streak,start_time,exercise_type,device_type,exercise_session_id,update_time,create_time,source_pkg_name,program_id,title,time_offset,extra_data,deviceuuid,pkg_name,controller_id,end_time,datauuid,is_visible
,2020-07-21 22:00:00.000,,,,2020-07-22 15:01:47.856,2020-07-22 15:01:47.856,,,tracker_floor_reward_target_achieved,UTC+0200,"{""mTarget"":10,""mValue"":20.0}",m3h9nVfJDO,com.sec.android.app.shealth,tracker.floor,2020-07-21 22:00:00.000,c01c9de4-7cfd-48b5-be22-e6026d269426,1,
,2020-07-21 22:00:00.000,,,,2020-07-22 15:01:47.798,2020-07-22 15:01:47.798,,,tracker_floor_reward_most_floors_climbed,UTC+0200,"{""mTarget"":-1,""mValue"":20.0}",m3h9nVfJDO,com.sec.android.app.shealth,tracker.floor,2020-07-21 22:00:00.000,33e5ce1b-ee11-4807-8f4d-f10bfaa0d335,1,
,2020-07-22 13:19:41.953,,,,2020-07-22 15:15:07.872,2020-07-22 13:19:41.964,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":72,""mValue2"":60}",m3h9nVfJDO,com.sec.android.app.shealth,goal.activity,2020-07-22 13:19:41.953,0b1266a9-f1b3-4d65-aee2-5574b0560bf9,0,
,2020-07-21 22:00:00.000,,,,2020-07-23 06:49:51.831,2020-07-22 11:33:48.273,,,tracker_floor_reward_most_floors_climbed,UTC+0200,"{""mTarget"":-1,""mValue"":33.0}",m3h9nVfJDO,com.sec.android.app.shealth,tracker.floor,2020-07-21 22:00:00.000,fc1fffb0-8969-4051-9846-cc38ed8d53b4,1,
,2020-07-22 15:01:51.813,,,,2020-07-23 13:08:18.893,2020-07-22 15:01:51.842,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":172,""mValue2"":60}",m3h9nVfJDO,com.sec.android.app.shealth,goal.activity,2020-07-22 15:01:51.813,4ab37515-f117-4452-8103-7738d9cf20fc,0,
,2020-07-22 22:00:00.000,,,,2020-07-24 07:38:10.370,2020-07-24 07:38:10.370,,,tracker_floor_reward_most_floors_climbed,UTC+0200,"{""mTarget"":-1,""mValue"":75.0}",m3h9nVfJDO,com.sec.android.app.shealth,tracker.floor,2020-07-22 22:00:00.000,91b66f06-7067-4d0b-b427-4c821924cad5,1,
,2020-07-22 18:15:18.333,,,,2020-07-23 20:26:36.083,2020-07-22 15:38:31.394,,,goal_activity_reward_most_active_day,UTC+0200,"{""mIsCompleted"":false,""mValue"":172,""mValue2"":0}",m3h9nVfJDO,com.sec.android.app.shealth,goal.activity,2020-07-22 15:38:30.237,635ba959-41e8-4b3d-8d87-da62d6f1186b,0,
,2020-07-23 13:08:18.295,,,,2020-07-24 10:56:54.318,2020-07-23 13:08:18.895,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":176,""mValue2"":60}",m3h9nVfJDO,com.sec.android.app.shealth,goal.activity,2020-07-23 13:08:18.295,a566b1ea-2ace-419e-af40-c13b49560cf0,0,
,2020-07-23 21:22:59.542,,,,2020-07-24 17:03:44.455,2020-07-23 20:26:36.132,,,goal_activity_reward_most_active_day,UTC+0200,"{""mIsCompleted"":false,""mValue"":176,""mValue2"":0}",m3h9nVfJDO,com.sec.android.app.shealth,goal.activity,2020-07-23 20:26:35.739,bf1ef3c4-8f03-4423-8c28-8325974c75fd,0,
,2020-07-24 10:56:54.287,,,,2020-07-25 11:51:48.235,2020-07-24 10:56:54.330,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":226,""mValue2"":60}",m3h9nVfJDO,com.sec.android.app.shealth,goal.activity,2020-07-24 10:56:54.287,8b0b7e61-4473-4f0e-85f1-b32b19b4823f,0,
