com.samsung.shealth.tracker.floors_day_summary,6311013,1
create_sh_ver,binning_data,modify_sh_ver,update_time,create_time,floor_count,version_code,deviceuuid,pkg_name,datauuid,day_time
62810050,,62810050,2024-10-24 23:50:36.516,2024-10-24 23:50:36.516,237,1,CdeuO5Zn7i,com.sec.android.app.shealth,aedb9b5a-b96e-4acb-a5cc-a1e6d2ce761b,1601510400000,
62810050,,62810050,2024-10-24 23:50:36.569,2024-10-24 23:50:36.569,10,1,CdeuO5Zn7i,com.sec.android.app.shealth,39f0397d-c31b-4821-a598-808b6ec9076d,1658620800000,
62810050,,62810050,2024-10-24 23:50:36.772,2024-10-24 23:50:36.772,22,1,CdeuO5Zn7i,com.sec.android.app.shealth,e595734a-8339-45b0-8023-9a5dab89d6f7,1644192000000,
62810050,,62810050,2024-10-24 23:50:36.614,2024-10-24 23:50:36.614,5,1,CdeuO5Zn7i,com.sec.android.app.shealth,ef7f0d4d-55ed-4f96-af90-ac511003396a,1615939200000,
62810050,,62810050,2024-10-24 23:50:36.945,2024-10-24 23:50:36.945,1,1,CdeuO5Zn7i,com.sec.android.app.shealth,8559326d-803a-4041-bc8a-542fcf7cb22e,1659225600000,
62810050,,62810050,2024-10-24 23:50:37.425,2024-10-24 23:50:37.425,201,1,CdeuO5Zn7i,com.sec.android.app.shealth,ffcc5542-6bed-4915-a4a8-f70619d8b31b,1600905600000,
62810050,,62810050,2024-10-24 23:50:37.289,2024-10-24 23:50:37.289,5,1,CdeuO5Zn7i,com.sec.android.app.shealth,4a8eced2-abd4-4655-8fa6-3057443a693a,1673654400000,
62810050,,62810050,2024-10-24 23:50:37.187,2024-10-24 23:50:37.187,13,1,CdeuO5Zn7i,com.sec.android.app.shealth,4dfdbe96-6e8e-4a29-ac40-ce66737afa02,1614729600000,
62810050,,62810050,2024-10-24 23:50:36.719,2024-10-24 23:50:36.719,11,1,CdeuO5Zn7i,com.sec.android.app.shealth,ff255c8d-80ed-482b-ae75-070d178d78c3,1715731200000,
62810050,,62810050,2024-10-24 23:50:37.129,2024-10-24 23:50:37.129,4,1,CdeuO5Zn7i,com.sec.android.app.shealth,91eb268e-fc33-45ce-8ba2-b6b4d29d8d4b,1702512000000,
62810050,,62810050,2024-10-24 23:50:36.662,2024-10-24 23:50:36.662,3,1,CdeuO5Zn7i,com.sec.android.app.shealth,1c55d6a8-2c41-4f08-90e2-7780d6ba6522,1673049600000,
62810050,,62810050,2024-10-24 23:50:36.821,2024-10-24 23:50:36.821,23,1,CdeuO5Zn7i,com.sec.android.app.shealth,9ebd9a4b-d7c0-4777-8960-1da51d2e77c6,1701302400000,
62810050,,62810050,2024-10-24 23:50:36.998,2024-10-24 23:50:36.998,6,1,CdeuO5Zn7i,com.sec.android.app.shealth,073def23-ee6f-4be9-a116-9e50b9505607,1643587200000,
62810050,,62810050,2024-10-24 23:50:36.880,2024-10-24 23:50:36.880,27,1,CdeuO5Zn7i,com.sec.android.app.shealth,a55a8546-f81a-43b6-8a34-142812ffad0d,1629763200000,
62810050,,62810050,2024-10-24 23:50:38.401,2024-10-24 23:50:38.401,8,1,CdeuO5Zn7i,com.sec.android.app.shealth,45cdc095-24b3-45fd-aa36-187f26174b05,1717545600000,
62810050,,62810050,2024-10-24 23:50:37.825,2024-10-24 23:50:37.825,2,1,CdeuO5Zn7i,com.sec.android.app.shealth,87451303-b0a0-4eb2-afa6-22487d757846,1642377600000,
62810050,,62810050,2024-10-24 23:50:37.062,2024-10-24 23:50:37.062,90,1,CdeuO5Zn7i,com.sec.android.app.shealth,bd0c8416-fc0f-4b37-b905-79d56d73cd64,1629158400000,
