com.samsung.shealth.tracker.pedometer_day_summary,6311013,7
create_sh_ver,step_count,binning_data,active_time,recommendation,modify_sh_ver,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
,4050,7bad9b07-654b-495e-89cc-888dc45547f5.binning_data.json,2141567,10000,,65,2020-05-02 16:39:07.559,com.sec.android.app.shealth,2020-05-02 10:14:31.342,,2.799732,3143.167,162.26315,3985,BPYUPn3BBR,com.sec.android.app.shealth,0,7bad9b07-654b-495e-89cc-888dc45547f5.achievement.json,7bad9b07-654b-495e-89cc-888dc45547f5,1588377600000,
,3956,ba3b7f26-d7b0-438a-87ff-6c3f11ae6c0a.binning_data.json,1721744,10000,,409,2020-05-02 22:00:00.791,com.sec.android.app.shealth,2020-05-02 10:14:22.040,,5.5721865,3498.4946,186.94708,3547,m3h9nVfJDO,com.sec.android.app.shealth,0,ba3b7f26-d7b0-438a-87ff-6c3f11ae6c0a.achievement.json,ba3b7f26-d7b0-438a-87ff-6c3f11ae6c0a,1588377600000,
,5267,0bd4f275-2711-4a8d-b693-a2b4ad448e6a.binning_data.json,2432924,10000,,410,2020-05-11 22:05:01.087,com.sec.android.app.shealth,2020-05-02 10:14:19.637,0bd4f275-2711-4a8d-b693-a2b4ad448e6a.source_info.json,1.8320372,4457.209,236.42761,4857,VfS0qUERdZ,com.sec.android.app.shealth,0,0bd4f275-2711-4a8d-b693-a2b4ad448e6a.achievement.json,0bd4f275-2711-4a8d-b693-a2b4ad448e6a,1588377600000,
,15443,21482db3-6e3b-4826-918d-5c3a1a973f3b.binning_data.json,7702028,10000,,379,2020-07-22 18:31:27.724,com.sec.android.app.shealth,2020-07-22 15:01:47.843,21482db3-6e3b-4826-918d-5c3a1a973f3b.source_info.json,1.6028591,12345.267,650.83215,15064,VfS0qUERdZ,com.sec.android.app.shealth,0,21482db3-6e3b-4826-918d-5c3a1a973f3b.achievement.json,21482db3-6e3b-4826-918d-5c3a1a973f3b,1595376000000,
,10370,1953a676-42d2-41d3-afe3-b22fd96834fa.binning_data.json,4881736,10000,,516,2020-07-22 22:00:01.590,com.sec.android.app.shealth,2020-07-22 15:15:01.777,,1.7877011,8727.087,461.26947,9854,m3h9nVfJDO,com.sec.android.app.shealth,0,1953a676-42d2-41d3-afe3-b22fd96834fa.achievement.json,1953a676-42d2-41d3-afe3-b22fd96834fa,1595376000000,
,13643,6bf37a4b-4989-4789-977f-52769f17f7e6.binning_data.json,7308557,10000,,32,2020-07-22 22:00:04.231,com.sec.android.app.shealth,2020-07-22 11:33:37.065,,1.4269314,10428.811,552.0143,13611,BPYUPn3BBR,com.sec.android.app.shealth,0,6bf37a4b-4989-4789-977f-52769f17f7e6.achievement.json,6bf37a4b-4989-4789-977f-52769f17f7e6,1595376000000,
,16083,b08fee07-4199-472c-b748-18f8a4bd7933.binning_data.json,7855180,10000,,366,2020-07-23 21:23:00.130,com.sec.android.app.shealth,2020-07-22 23:11:37.856,b08fee07-4199-472c-b748-18f8a4bd7933.source_info.json,1.6368638,12857.86,700.78894,15717,VfS0qUERdZ,com.sec.android.app.shealth,0,b08fee07-4199-472c-b748-18f8a4bd7933.achievement.json,b08fee07-4199-472c-b748-18f8a4bd7933,1595462400000,
,7970,802e6617-5745-41f5-a43e-2dcb87e46834.binning_data.json,3600340,10000,,269,2020-07-23 22:00:01.589,com.sec.android.app.shealth,2020-07-23 22:00:01.589,,1.8800883,6768.9575,346.33875,7701,m3h9nVfJDO,com.sec.android.app.shealth,0,802e6617-5745-41f5-a43e-2dcb87e46834.achievement.json,802e6617-5745-41f5-a43e-2dcb87e46834,1595462400000,
,12741,27e1457e-66f1-45bc-9e8a-f824d7258d8b.binning_data.json,6512028,10000,,176,2020-07-23 22:00:03.124,com.sec.android.app.shealth,2020-07-23 22:00:03.124,,1.4857073,9674.969,556.55743,12565,BPYUPn3BBR,com.sec.android.app.shealth,0,27e1457e-66f1-45bc-9e8a-f824d7258d8b.achievement.json,27e1457e-66f1-45bc-9e8a-f824d7258d8b,1595462400000,
,17722,0a5b9313-d536-4ed4-9552-170253bbff28.binning_data.json,8691067,10000,,853,2020-07-24 21:55:09.191,com.sec.android.app.shealth,2020-07-23 22:09:34.462,0a5b9313-d536-4ed4-9552-170253bbff28.source_info.json,1.7004563,14778.78,802.4809,16869,VfS0qUERdZ,com.sec.android.app.shealth,0,0a5b9313-d536-4ed4-9552-170253bbff28.achievement.json,0a5b9313-d536-4ed4-9552-170253bbff28,1595548800000,
,13117,e3effc1b-47e7-4584-b9e7-f8cd24ee1bd8.binning_data.json,6085134,10000,,939,2020-07-24 22:00:01.722,com.sec.android.app.shealth,2020-07-24 22:00:01.722,,1.8801687,11441.079,619.64404,12178,m3h9nVfJDO,com.sec.android.app.shealth,0,e3effc1b-47e7-4584-b9e7-f8cd24ee1bd8.achievement.json,e3effc1b-47e7-4584-b9e7-f8cd24ee1bd8,1595548800000,
,12181,612ffe20-5910-4bba-b169-14f76c339827.binning_data.json,6684013,10000,,219,2020-07-24 22:00:04.839,com.sec.android.app.shealth,2020-07-24 22:00:04.839,,1.4162893,9466.496,530.09784,11962,BPYUPn3BBR,com.sec.android.app.shealth,0,612ffe20-5910-4bba-b169-14f76c339827.achievement.json,612ffe20-5910-4bba-b169-14f76c339827,1595548800000,
,13438,ceaa551d-ec98-4dd0-aae4-2eb3e522310b.binning_data.json,6684012,10000,,339,2020-07-25 22:00:02.146,com.sec.android.app.shealth,2020-07-25 22:00:02.146,,1.642904,10981.191,571.638,13099,m3h9nVfJDO,com.sec.android.app.shealth,0,ceaa551d-ec98-4dd0-aae4-2eb3e522310b.achievement.json,ceaa551d-ec98-4dd0-aae4-2eb3e522310b,1595635200000,
,18319,f4d8f5c3-de93-4960-88e8-9e9ab0ac673d.binning_data.json,9303637,10000,,321,2020-07-25 21:59:30.036,com.sec.android.app.shealth,2020-07-25 05:11:22.687,f4d8f5c3-de93-4960-88e8-9e9ab0ac673d.source_info.json,1.5395039,14322.987,796.87897,17998,VfS0qUERdZ,com.sec.android.app.shealth,0,f4d8f5c3-de93-4960-88e8-9e9ab0ac673d.achievement.json,f4d8f5c3-de93-4960-88e8-9e9ab0ac673d,1595635200000,
,16106,43547df2-ae66-49f9-b5ee-66323a1948df.binning_data.json,8528661,10000,,34,2020-07-26 22:00:12.164,com.sec.android.app.shealth,2020-07-25 22:00:05.322,,1.3799782,11769.366,685.2785,16072,BPYUPn3BBR,com.sec.android.app.shealth,0,43547df2-ae66-49f9-b5ee-66323a1948df.achievement.json,43547df2-ae66-49f9-b5ee-66323a1948df,1595635200000,
,9778,0f0299ff-05d4-43b9-bd82-4efbf2b7d5a8.binning_data.json,4372876,10000,,490,2020-07-26 22:00:11.189,com.sec.android.app.shealth,2020-07-25 22:04:53.748,0f0299ff-05d4-43b9-bd82-4efbf2b7d5a8.source_info.json,1.9042709,8327.14,438.27222,9288,VfS0qUERdZ,com.sec.android.app.shealth,0,0f0299ff-05d4-43b9-bd82-4efbf2b7d5a8.achievement.json,0f0299ff-05d4-43b9-bd82-4efbf2b7d5a8,1595721600000,
