com.samsung.shealth.tracker.pedometer_step_count,6311013,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
5417,4,0,10,2026-02-04 16:38:00.000,,,2026-02-04 16:38:25.265,2026-02-04 16:38:25.265,10,1.3943005,7.554199,0.41934204,UTC+0100,CdeuO5Zn7i,com.sec.android.app.shealth,2026-02-04 16:39:00.000,938941db-6f0a-4ac7-b2a1-5335c5808337,
9539,4,0,22,2026-02-04 17:02:00.000,,,2026-02-04 17:03:16.059,2026-02-04 17:03:16.059,22,1.8206286,17.367676,0.90286255,UTC+0100,CdeuO5Zn7i,com.sec.android.app.shealth,2026-02-04 17:03:00.000,73330215-d96e-4796-969a-ce3a4ead4bef,
7964,4,0,14,2026-02-04 17:03:00.000,,,2026-02-04 17:03:55.003,2026-02-04 17:03:55.003,14,1.3271483,10.5703125,0.5838928,UTC+0100,CdeuO5Zn7i,com.sec.android.app.shealth,2026-02-04 17:04:00.000,7bc1573e-b006-4f20-92c7-f2f06565678f,
24971,4,0,33,2026-02-04 15:44:00.000,,,2026-02-04 15:45:37.828,2026-02-04 15:44:34.019,33,0.9657099,24.114746,1.4149017,UTC+0100,CdeuO5Zn7i,com.sec.android.app.shealth,2026-02-04 15:45:00.000,e920549c-96eb-4112-af49-4d67c0196ac2,
4878,4,0,10,2026-02-04 16:47:00.000,,,2026-02-04 16:55:01.154,2026-02-04 16:55:01.154,10,1.6666666,8.13,0.6,UTC+0100,VhFspb+oN4,com.sec.android.app.shealth,2026-02-04 16:48:00.000,2b3160e0-241e-4473-b045-de5cd83f9163,
3767,4,0,6,2026-02-04 16:52:00.000,,,2026-02-04 16:56:20.135,2026-02-04 16:56:20.135,6,1.1944444,4.5,0.24,UTC+0100,VhFspb+oN4,com.sec.android.app.shealth,2026-02-04 16:53:00.000,1f5bc117-8f2b-4c79-92f0-5a7a55ef22b1,
51552,4,17,87,2026-02-04 17:04:00.000,,,2026-02-04 17:05:22.565,2026-02-04 17:04:43.900,104,1.6204685,83.53999,4.94,UTC+0100,VhFspb+oN4,com.sec.android.app.shealth,2026-02-04 17:05:00.000,ae3f97cf-38ee-4425-9fb2-08aca0403a7d,
7488,4,0,11,2026-02-04 16:52:00.000,,,2026-02-04 16:52:04.542,2026-02-04 16:52:00.625,11,1.0766948,8.062988,0.4682312,UTC+0100,CdeuO5Zn7i,com.sec.android.app.shealth,2026-02-04 16:53:00.000,2c106dae-dedc-4eea-95ec-711bc517dc7c,
19818,4,0,35,2026-02-04 17:06:00.000,,,2026-02-04 17:06:47.668,2026-02-04 17:06:26.534,35,1.6670783,33.039062,1.8856201,UTC+0100,CdeuO5Zn7i,com.sec.android.app.shealth,2026-02-04 17:07:00.000,9b3c08e3-3263-4f45-a377-dc721dffa42f,
18519,4,0,32,2026-02-04 15:45:00.000,,,2026-02-04 15:45:37.866,2026-02-04 15:45:37.866,32,1.2954012,23.990234,1.3436279,UTC+0100,CdeuO5Zn7i,com.sec.android.app.shealth,2026-02-04 15:46:00.000,2433ea43-fbe8-4c82-b924-736040bd00c8,
41045,4,82,32,2026-02-04 17:05:00.000,,,2026-02-04 17:06:13.328,2026-02-04 17:05:22.832,114,2.4567955,100.84,7.62,UTC+0100,VhFspb+oN4,com.sec.android.app.shealth,2026-02-04 17:06:00.000,aa70e9ed-b228-4ba8-afa2-662569d89097,
37348,4,0,68,2026-02-04 16:49:00.000,,,2026-02-04 16:55:01.264,2026-02-04 16:55:01.264,68,1.4166666,52.91,2.7,UTC+0100,VhFspb+oN4,com.sec.android.app.shealth,2026-02-04 16:50:00.000,17905dbd-a636-4e09-88ce-612ab171af00,
2386,4,5,0,2026-02-04 16:48:00.000,,,2026-02-04 16:55:01.196,2026-02-04 16:55:01.196,5,1.7222223,4.11,0.32,UTC+0100,VhFspb+oN4,com.sec.android.app.shealth,2026-02-04 16:49:00.000,ed88b6f2-33ba-425a-90fc-f572bab1d877,
60000,4,0,109,2026-02-04 16:50:00.000,,,2026-02-04 16:55:02.133,2026-02-04 16:55:02.133,109,1.4085001,84.51,4.36,UTC+0100,VhFspb+oN4,com.sec.android.app.shealth,2026-02-04 16:51:00.000,352dfc92-af9b-4c50-9054-ead6d54d21d4,
35524,4,0,64,2026-02-04 17:06:00.000,,,2026-02-04 17:07:32.728,2026-02-04 17:07:32.728,64,1.3888888,49.34,2.6,UTC+0100,VhFspb+oN4,com.sec.android.app.shealth,2026-02-04 17:07:00.000,19fc8111-9e3d-4383-a669-a1cbe41131f3,
30482,4,0,57,2026-02-04 17:07:00.000,,,2026-02-04 17:07:49.557,2026-02-04 17:07:08.027,57,1.4707842,44.833496,2.3311462,UTC+0100,CdeuO5Zn7i,com.sec.android.app.shealth,2026-02-04 17:08:00.000,d4501c79-8c9b-4acf-aea0-386951e15daa,
12094,4,0,21,2026-02-04 16:51:00.000,,,2026-02-04 16:55:02.235,2026-02-04 16:55:02.235,21,1.3055556,15.79,0.86,UTC+0100,VhFspb+oN4,com.sec.android.app.shealth,2026-02-04 16:52:00.000,683103b7-ef54-4e89-8fc9-369ee4e67d63,
1333,4,0,6,2026-02-04 17:12:00.000,,,2026-02-04 17:12:53.857,2026-02-04 17:12:53.857,6,3.7858698,5.0478516,0.21847534,UTC+0100,CdeuO5Zn7i,com.sec.android.app.shealth,2026-02-04 17:13:00.000,e718b6b0-da94-4c81-94e3-2b4099c86e5f,
34682,4,0,54,2026-02-04 17:10:00.000,,,2026-02-04 17:12:29.590,2026-02-04 17:12:29.590,54,1.1388888,39.5,2.24,UTC+0100,VhFspb+oN4,com.sec.android.app.shealth,2026-02-04 17:11:00.000,20cad991-6dd4-4635-a56a-692469a37a06,
23924,4,0,46,2026-02-04 17:13:00.000,,,2026-02-04 17:13:39.255,2026-02-04 17:13:14.474,46,1.520859,36.385742,1.8718262,UTC+0100,CdeuO5Zn7i,com.sec.android.app.shealth,2026-02-04 17:14:00.000,bb9c99dc-f86f-4d02-b654-96e1fd1ecc65,
28639,4,0,53,2026-02-04 17:31:00.000,,,2026-02-04 17:31:59.955,2026-02-04 17:31:31.348,53,1.4455267,41.398926,2.182495,UTC+0100,CdeuO5Zn7i,com.sec.android.app.shealth,2026-02-04 17:32:00.000,44f499e1-1cce-4ced-ace9-8c1731ce7948,
23165,4,0,42,2026-02-04 17:09:00.000,,,2026-02-04 17:10:19.030,2026-02-04 17:10:19.030,42,1.3862954,32.11377,1.7388306,UTC+0100,CdeuO5Zn7i,com.sec.android.app.shealth,2026-02-04 17:10:00.000,1c880a93-0ecd-488e-9b0d-56a3c7779ae1,
6951,4,0,11,2026-02-04 17:12:00.000,,,2026-02-04 17:12:29.774,2026-02-04 17:12:29.774,11,1.1666666,8.11,0.43,UTC+0100,VhFspb+oN4,com.sec.android.app.shealth,2026-02-04 17:13:00.000,0dd902fe-9fd1-4b93-a174-d88927265124,
31026,4,0,58,2026-02-04 17:07:00.000,,,2026-02-04 17:07:36.283,2026-02-04 17:07:32.921,58,1.4677889,45.54,2.3300002,UTC+0100,VhFspb+oN4,com.sec.android.app.shealth,2026-02-04 17:08:00.000,b338c841-a573-4274-80a9-1c63cf1d16be,
6232,4,4,10,2026-02-04 17:15:00.000,,,2026-02-04 17:17:25.809,2026-02-04 17:17:25.809,14,1.8611109,11.6,0.87,UTC+0100,VhFspb+oN4,com.sec.android.app.shealth,2026-02-04 17:16:00.000,590f60a4-8984-4014-a998-28dfd7a010e0,
41136,4,0,64,2026-02-04 17:11:00.000,,,2026-02-04 17:12:29.674,2026-02-04 17:12:29.674,64,1.1388888,46.85,2.65,UTC+0100,VhFspb+oN4,com.sec.android.app.shealth,2026-02-04 17:12:00.000,72c3b597-2360-4002-9f12-eed7d2e2cc0b,
59134,4,0,115,2026-02-04 17:32:00.000,,,2026-02-04 17:33:26.169,2026-02-04 17:32:00.468,115,1.5562712,92.029785,4.686035,UTC+0100,CdeuO5Zn7i,com.sec.android.app.shealth,2026-02-04 17:33:00.000,a09171ff-49fa-4794-b192-529e843e89fc,
8441,4,1,18,2026-02-04 17:17:00.000,,,2026-02-04 17:17:34.641,2026-02-04 17:17:34.641,19,1.8611112,15.71,0.87,UTC+0100,VhFspb+oN4,com.sec.android.app.shealth,2026-02-04 17:18:00.000,e4574dfe-c257-4cba-8c24-7a3e0768ab79,
8193,4,0,14,2026-02-04 17:33:00.000,,,2026-02-04 17:33:26.261,2026-02-04 17:33:26.261,14,1.2891386,10.562012,0.5840149,UTC+0100,CdeuO5Zn7i,com.sec.android.app.shealth,2026-02-04 17:34:00.000,8e87070e-d5ad-41c0-b3b7-42d7d138f4cd,
10922,4,0,18,2026-02-04 17:09:00.000,,,2026-02-04 17:12:29.432,2026-02-04 17:12:29.432,18,1.2222222,13.35,0.78,UTC+0100,VhFspb+oN4,com.sec.android.app.shealth,2026-02-04 17:10:00.000,1d036ac4-bc8b-44ed-9c8a-be406378dafc,
8973,4,0,14,2026-02-04 17:33:00.000,,,2026-02-04 17:34:52.818,2026-02-04 17:34:52.818,14,1.1388888,10.22,0.63,UTC+0100,VhFspb+oN4,com.sec.android.app.shealth,2026-02-04 17:34:00.000,10842a09-1a90-4408-874e-08f280f0c84e,
19738,4,0,37,2026-02-04 17:31:00.000,,,2026-02-04 17:34:52.573,2026-02-04 17:34:52.573,37,1.4722222,29.06,1.51,UTC+0100,VhFspb+oN4,com.sec.android.app.shealth,2026-02-04 17:32:00.000,b2eebb23-8953-4f4e-84dc-ed73ec19488b,
7523,4,2,14,2026-02-04 17:16:00.000,,,2026-02-04 17:17:25.876,2026-02-04 17:17:25.876,16,1.6388888,12.33,0.67,UTC+0100,VhFspb+oN4,com.sec.android.app.shealth,2026-02-04 17:17:00.000,72a5e97e-3b6b-4898-9233-d43c4c25b070,
4147,4,0,7,2026-02-04 17:10:00.000,,,2026-02-04 17:10:19.056,2026-02-04 17:10:19.056,7,1.3017131,5.3984375,0.28829956,UTC+0100,CdeuO5Zn7i,com.sec.android.app.shealth,2026-02-04 17:11:00.000,edebc42b-1bde-4f1d-9c9e-ee78dc00509b,
